type,time
start,14:32:00
authoringNEW-start,14:33:24
authoring-finished,14:33:28
authoringNEW-start,14:34:33
authoring-finished,14:34:35
nl2js-start,14:34:35
nl2js-finished,14:34:38
js2NLexplain-start,14:34:38
js2NLexplain-finished,14:34:45
js2flow-start,14:34:45
js2flow-finished,14:34:57
nodeClick,14:35:06
nodeClick,14:35:07
Node update,14:35:29
nodeClick,14:35:38
magicModify-start,14:35:55
magicModify-finished,14:36:01
Node update,14:36:47
flow2js-start,14:37:00
flow2js-finished,14:37:06
explainModifiedJS-start,14:37:06
explainModifiedJS-finished,14:37:15
nodeClick,14:40:56
nodeClick,14:41:02
nodeClick,14:41:04
nodeClick,14:41:05
nodeClick,14:41:13
nodeClick,14:41:15
nodeClick,14:41:16
nodeClick,14:41:18
nodeClick,14:41:19
nodeClick,14:41:21
nodeClick,14:41:22
magicModify-start,14:41:25
magicModify-finished,14:41:35
magicModifyPhase-start,14:43:04
magicModifyPhase-finished,14:43:19
js2flow-start,14:43:19
js2flow-finished,14:43:30
nodeClick,14:43:42
nodeClick,14:43:43
nodeClick,14:43:43
nodeClick,14:43:49
nodeClick,14:43:50
magicModify-start,14:43:51
magicModify-finished,14:43:57
nodeClick,14:46:24
newNodeAdd,14:46:34
nodeClick,14:46:37
