type,time
start,19:21:11
authoringNEW-start,19:21:53
authoring-finished,19:21:56
authoringNEW-start,19:22:20
authoring-finished,19:22:26
authoringNEW-start,19:22:30
authoring-finished,19:22:32
nl2js-start,19:22:32
nl2js-finished,19:22:38
js2NLexplain-start,19:22:38
js2NLexplain-finished,19:22:44
js2flow-start,19:22:44
js2flow-finished,19:23:09
nodeClick,19:23:19
nodeClick,19:23:21
nodeClick,19:23:21
nodeClick,19:23:30
nodeClick,19:23:51
nodeClick,19:23:51
Node update,19:24:11
nodeClick,19:24:16
magicModify-start,19:24:17
magicModify-finished,19:24:21
magicModifyPhase-start,19:24:41
magicModifyPhase-finished,19:24:45
magicModifyPhase-start,19:25:02
magicModifyPhase-finished,19:25:18
js2flow-start,19:25:18
js2flow-finished,19:25:46
nodeClick,19:25:50
nodeClick,19:25:50
nodeClick,19:25:51
nodeClick,19:25:54
nodeClick,19:25:54
nodeClick,19:25:55
nodeClick,19:26:02
magicModify-start,19:26:03
magicModify-finished,19:26:08
nodeClick,19:26:24
nodeClick,19:26:25
nodeClick,19:26:25
magicModifyPhase-start,19:30:14
magicModifyPhase-finished,19:30:38
js2flow-start,19:30:38
js2flow-finished,19:31:18
nodeClick,19:31:54
nodeClick,19:31:54
Node update,19:32:06
nl2jswithContext-start,19:32:56
nl2jswithContext-finished,19:33:06
explainModifiedJS-start,19:33:06
explainModifiedJS-finished,19:33:12
js2flow-start,19:33:12
js2flow-finished,19:33:36
