type,time
start,20:42:15
authoringNEW-start,20:42:41
authoring-finished,20:42:44
authoringNEW-start,20:43:13
authoring-finished,20:43:16
authoringNEW-start,20:43:41
authoring-finished,20:43:48
authoringNEW-start,20:44:06
authoring-finished,20:44:09
nl2js-start,20:44:09
nl2js-finished,20:44:19
js2NLexplain-start,20:44:19
js2NLexplain-finished,20:44:27
js2flow-start,20:44:27
js2flow-finished,20:45:25
nodeClick,20:47:50
magicModify-start,20:47:53
magicModify-finished,20:48:01
nodeClick,20:48:38
nodeClick,20:48:38
Node update,20:48:44
nodeClick,20:48:53
newNodeAdd,20:49:01
nodeClick,20:49:04
nodeClick,20:49:10
nodeClick,20:49:10
nodeClick,20:49:13
nodeClick,20:49:13
nodeClick,20:49:19
nodeClick,20:49:21
nodeClick,20:49:21
nodeClick,20:49:23
nodeClick,20:49:24
nodeClick,20:49:27
magicModify-start,20:49:30
magicModify-finished,20:49:37
magicModifyPhase-start,20:50:21
magicModifyPhase-finished,20:50:32
nodeClick,20:50:58
nodeClick,20:50:59
nodeClick,20:50:59
nodeClick,20:51:18
nodeClick,20:51:28
nodeClick,20:51:39
nodeClick,20:51:43
nodeClick,20:51:44
nodeClick,20:51:53
nodeClick,20:51:57
nodeClick,20:52:00
nodeClick,20:52:01
nodeClick,20:52:04
nodeClick,20:52:08
nodeClick,20:52:08
nodeClick,20:52:12
nodeClick,20:52:12
nodeClick,20:52:16
magicModify-start,20:52:29
magicModify-finished,20:52:35
magicModifyPhase-start,20:52:42
magicModifyPhase-finished,20:52:53
nodeClick,20:53:07
nodeClick,20:53:12
nodeClick,20:53:19
nodeClick,20:53:22
nodeClick,20:53:25
nodeClick,20:53:58
nodeClick,20:54:24
nodeClick,20:54:26
nodeClick,20:54:54
nodeClick,20:54:54
nodeClick,20:55:08
nodeClick,20:55:08
nodeClick,20:55:10
