type,time
start,21:13:13
authoringNEW-start,21:13:32
authoring-finished,21:13:35
authoringNEW-start,21:13:50
authoring-finished,21:13:51
nl2js-start,21:13:52
nl2js-finished,21:13:56
js2NLexplain-start,21:13:56
js2NLexplain-finished,21:14:01
js2flow-start,21:14:01
js2flow-finished,21:14:30
nodeClick,21:14:39
nodeClick,21:14:40
nodeClick,21:14:41
nodeClick,21:14:42
nodeClick,21:14:43
nodeClick,21:14:43
nodeClick,21:14:48
nodeClick,21:14:49
magicModify-start,21:14:51
magicModify-finished,21:14:57
nodeClick,21:15:00
magicModify-start,21:15:12
magicModify-finished,21:15:17
nodeClick,21:18:23
nodeClick,21:18:37
