time,content,type,sessionID,createdAt
21:26:23,start a new session,start,e9a22124-56d1-4894-a906-4e96ffbaa3da,08-20-21-26-23
21:35:48,"我的机器人个性化服务定制需求：参观引导。在接待区检测到人时，问好打好招呼（人工智能叮当给大家介绍）。然后引导人员前往参观作品展示区，到达后介绍内容：眼前是一个双臂机器人，其手臂可上下移动，并360度旋转身体。同时，公司还在开发虚实结合的激情人测试平台，可以满足不同家具场景下模拟测试。介绍结束后，播报结束语：介绍完毕请跟我返回接待区，然后
引导人返回接待区，之后播报：欢迎再次参观。",authoringNEW-start,e9a22124-56d1-4894-a906-4e96ffbaa3da,08-20-21-26-23
21:35:54,"<require>
1. 参观引导：在接待区检测到人时，问好打好招呼（人工智能叮当给大家介绍）。
2. 引导人员前往参观作品展示区。
3. 到达作品展示区后，介绍内容：眼前是一个双臂机器人，其手臂可上下移动，并360度旋转身体。同时，公司还在开发虚实结合的激情人测试平台，可以满足不同家具场景下模拟测试。
4. 介绍结束后，播报结束语：介绍完毕请跟我返回接待区。
5. 引导人返回接待区。
6. 播报欢迎再次参观。
</require>",authoring-finished,e9a22124-56d1-4894-a906-4e96ffbaa3da,08-20-21-26-23
21:36:27,"我的机器人个性化服务定制需求：参观引导。在接待区检测到人时，问好打好招呼（人工智能叮当给大家介绍）。然后引导人员前往参观作品展示区，到达后介绍内容：眼前是一个双臂机器人，其手臂可上下移动，并360度旋转身体。同时，公司还在开发虚实结合的激情人测试平台，可以满足不同家具场景下模拟测试。介绍结束后，播报结束语：介绍完毕请跟我返回接待区，然后
引导人返回接待区，之后播报：欢迎再次参观。",authoringNEW-start,e9a22124-56d1-4894-a906-4e96ffbaa3da,08-20-21-26-23
21:36:33,"<modifiedrequire>
1. 参观引导：在接待区检测到人时，问好打好招呼（叮当给大家介绍）。
2. 引导人员前往参观作品展示区。
3. 到达作品展示区后，介绍内容：眼前是一个双臂机器人，其手臂可上下移动，并360度旋转身体。同时，公司还在开发虚实结合的激情人测试平台，可以满足不同家具场景下模拟测试。
4. 介绍结束后，播报结束语：介绍完毕请跟我返回接待区。
5. 引导人返回接待区。
6. 播报欢迎再次参观。
</modifiedrequire>",authoring-finished,e9a22124-56d1-4894-a906-4e96ffbaa3da,08-20-21-26-23
21:37:07,"我的机器人个性化服务定制需求：参观引导。在接待区检测到人时，问好打好招呼（人工智能叮当给大家介绍）。然后引导人员前往参观作品展示区，到达后介绍内容：眼前是一个双臂机器人，其手臂可上下移动，并360度旋转身体。同时，公司还在开发虚实结合的激情人测试平台，可以满足不同家具场景下模拟测试。介绍结束后，播报结束语：介绍完毕请跟我返回接待区，然后
引导人返回接待区，之后播报：欢迎再次参观。",authoringNEW-start,e9a22124-56d1-4894-a906-4e96ffbaa3da,08-20-21-26-23
21:37:14,"<modifiedrequire>
1. 参观引导：在接待区检测到人时，问好打好招呼（叮当带领大家参观公司介绍展示区）。
2. 引导人员前往参观作品展示区。
3. 到达作品展示区后，介绍内容：眼前是一个双臂机器人，其手臂可上下移动，并360度旋转身体。同时，公司还在开发虚实结合的激情人测试平台，可以满足不同家具场景下模拟测试。
4. 介绍结束后，播报结束语：介绍完毕请跟我返回接待区。
5. 引导人返回接待区。
6. 播报欢迎再次参观。
</modifiedrequire>",authoring-finished,e9a22124-56d1-4894-a906-4e96ffbaa3da,08-20-21-26-23
21:37:45,"我的机器人个性化服务定制需求：参观引导。在接待区检测到人时，问好打好招呼（人工智能叮当给大家介绍）。然后引导人员前往参观作品展示区，到达后介绍内容：眼前是一个双臂机器人，其手臂可上下移动，并360度旋转身体。同时，公司还在开发虚实结合的激情人测试平台，可以满足不同家具场景下模拟测试。介绍结束后，播报结束语：介绍完毕请跟我返回接待区，然后
引导人返回接待区，之后播报：欢迎再次参观。",authoringNEW-start,e9a22124-56d1-4894-a906-4e96ffbaa3da,08-20-21-26-23
21:37:51,"<modifiedrequire>
1. 参观引导：在接待区检测到人时，问好打好招呼（叮当带领大家参观公司介绍展示区）。
2. 引导人员前往参观作品展示区。
3. 到达作品展示区后，介绍内容：眼前是一个双臂机器人，其手臂可上下移动，并360度旋转身体。同时，公司还在开发虚实结合的激情人测试平台，可以满足不同家具场景下模拟测试。
4. 介绍结束后，播报结束语：介绍完毕请跟叮当返回接待区。
5. 引导人返回接待区。
6. 播报欢迎再次参观。
</modifiedrequire>",authoring-finished,e9a22124-56d1-4894-a906-4e96ffbaa3da,08-20-21-26-23
21:38:06,"我的机器人个性化服务定制需求：参观引导。在接待区检测到人时，问好打好招呼（人工智能叮当给大家介绍）。然后引导人员前往参观作品展示区，到达后介绍内容：眼前是一个双臂机器人，其手臂可上下移动，并360度旋转身体。同时，公司还在开发虚实结合的激情人测试平台，可以满足不同家具场景下模拟测试。介绍结束后，播报结束语：介绍完毕请跟我返回接待区，然后
引导人返回接待区，之后播报：欢迎再次参观。",authoringNEW-start,e9a22124-56d1-4894-a906-4e96ffbaa3da,08-20-21-26-23
