type,time
start,21:26:23
authoringNEW-start,21:35:48
authoring-finished,21:35:54
authoringNEW-start,21:36:27
authoring-finished,21:36:33
authoringNEW-start,21:37:07
authoring-finished,21:37:14
authoringNEW-start,21:37:45
authoring-finished,21:37:51
authoringNEW-start,21:38:06
authoring-finished,21:38:08
nl2js-start,21:38:08
nl2js-finished,21:38:15
js2NLexplain-start,21:38:15
js2NLexplain-finished,21:38:22
js2flow-start,21:38:22
js2flow-finished,21:38:42
nodeClick,21:39:18
nodeClick,21:39:25
nodeClick,21:39:26
nodeClick,21:39:27
nodeClick,21:39:30
nodeClick,21:39:30
nodeClick,21:39:32
nodeClick,21:39:33
magicModify-start,21:39:35
magicModify-finished,21:39:41
nodeClick,21:39:47
magicModify-start,21:39:57
magicModify-finished,21:40:01
magicModifyPhase-start,21:40:45
magicModifyPhase-finished,21:41:05
js2flow-start,21:41:05
js2flow-finished,21:41:27
nodeClick,21:43:13
nodeClick,21:43:13
magicModify-start,21:43:17
magicModify-finished,21:43:23
magicModify-start,21:43:57
magicModify-finished,21:43:58
magicModifyPhase-start,21:45:34
magicModifyPhase-finished,21:45:57
js2flow-start,21:45:58
js2flow-finished,21:46:15
Node update,21:46:28
nodeClick,21:46:32
