type,time
start,21:57:41
authoringNEW-start,22:09:48
authoring-finished,22:09:55
authoringNEW-start,22:10:33
authoring-finished,22:10:34
nl2js-start,22:10:34
nl2js-finished,22:10:45
js2NLexplain-start,22:10:45
js2NLexplain-finished,22:10:56
js2flow-start,22:10:56
js2flow-finished,22:11:45
nodeClick,22:11:57
nodeClick,22:12:05
nodeClick,22:12:06
nodeClick,22:12:07
nodeClick,22:12:13
nodeClick,22:12:15
nodeClick,22:12:15
nodeClick,22:12:17
nodeClick,22:12:20
nodeClick,22:12:29
magicModify-start,22:12:32
magicModify-finished,22:12:38
magicModifyPhase-start,22:14:39
magicModifyPhase-finished,22:15:13
js2flow-start,22:15:13
js2flow-finished,22:15:51
nodeClick,22:15:58
nodeClick,22:16:00
nodeClick,22:16:01
nodeClick,22:16:04
nodeClick,22:16:07
nodeClick,22:16:23
nodeClick,22:16:25
nodeClick,22:16:25
magicModify-start,22:16:30
magicModify-finished,22:16:36
magicModifyPhase-start,22:17:44
magicModifyPhase-finished,22:17:56
magicModifyPhase-start,22:18:42
magicModifyPhase-finished,22:19:16
js2flow-start,22:19:16
js2flow-finished,22:19:52
nodeClick,22:20:02
nodeClick,22:20:05
nodeClick,22:20:06
nodeClick,22:20:07
nodeClick,22:20:10
nodeClick,22:20:14
nodeClick,22:20:25
nodeClick,22:20:26
nodeClick,22:20:28
nodeClick,22:20:29
nodeClick,22:20:30
magicModify-start,22:20:33
magicModify-finished,22:20:41
nodeClick,22:20:46
nodeClick,22:20:47
nodeClick,22:20:48
nodeClick,22:20:48
nodeClick,22:20:49
nodeClick,22:20:50
magicModify-start,22:20:51
magicModify-finished,22:21:03
nodeClick,22:21:26
nodeClick,22:21:54
nodeClick,22:22:17
nodeClick,22:22:18
nodeClick,22:22:22
magicModify-start,22:22:23
magicModify-finished,22:22:29
nodeClick,22:22:55
magicModify-start,22:22:56
magicModify-finished,22:23:02
nodeClick,22:24:06
magicModify-start,22:24:09
magicModify-finished,22:24:09
nodeClick,22:24:17
nodeClick,22:24:41
nodeClick,22:24:56
magicModify-start,22:24:57
magicModify-finished,22:25:02
nodeClick,22:25:14
nodeClick,22:25:14
nodeClick,22:25:16
nodeClick,22:25:18
nodeClick,22:25:19
magicModify-start,22:25:20
magicModify-finished,22:25:25
nodeClick,22:25:36
nodeClick,22:25:51
magicModify-start,22:25:52
magicModify-finished,22:25:53
magicModifyPhase-start,22:26:04
magicModifyPhase-finished,22:26:19
nodeClick,22:28:29
magicModify-start,22:28:32
magicModify-finished,22:28:33
nodeClick,22:29:39
nodeClick,22:29:42
nodeClick,22:29:51
nodeClick,22:29:52
nodeClick,22:29:55
nodeClick,22:29:57
nodeClick,22:29:58
magicModify-start,22:30:03
magicModify-finished,22:30:11
nodeClick,22:30:22
nodeClick,22:30:37
magicModify-start,22:30:53
magicModify-finished,22:30:53
magicModifyPhase-start,22:31:21
magicModifyPhase-finished,22:31:31
nodeClick,22:31:55
nodeClick,22:32:44
nodeClick,22:33:05
magicModifyPhase-start,22:33:10
magicModifyPhase-finished,22:33:22
magicModifyPhase-start,22:34:25
magicModifyPhase-finished,22:35:04
js2flow-start,22:35:04
js2flow-finished,22:35:54
nodeClick,22:36:32
nodeClick,22:38:03
nodeClick,22:38:04
nodeClick,22:38:05
nodeClick,22:38:08
nodeClick,22:38:09
nodeClick,22:38:11
nodeClick,22:38:11
nodeClick,22:38:13
magicModify-start,22:38:18
magicModify-finished,22:38:26
magicModifyPhase-start,22:40:03
magicModifyPhase-finished,22:40:41
js2flow-start,22:40:41
js2flow-finished,22:41:22
nodeClick,22:41:30
nodeClick,22:41:33
nodeClick,22:41:34
nodeClick,22:41:42
nodeClick,22:41:42
nodeClick,22:41:43
nodeClick,22:41:49
nodeClick,22:41:49
nodeClick,22:41:54
nodeClick,22:41:57
nodeClick,22:42:00
nodeClick,22:42:01
nodeClick,22:42:05
nodeClick,22:42:09
nodeClick,22:42:14
magicModify-start,22:42:15
magicModify-finished,22:42:21
nodeClick,22:42:29
nodeClick,22:42:31
