type,time
start,11:06:44
authoringNEW-start,11:07:30
authoring-finished,11:07:33
authoringNEW-start,11:07:40
authoring-finished,11:07:41
nl2js-start,11:07:41
nl2js-finished,11:07:48
js2NLexplain-start,11:07:48
js2NLexplain-finished,11:07:55
js2flow-start,11:07:56
js2flow-finished,11:08:25
nodeClick,11:08:35
nodeClick,11:08:39
nodeClick,11:08:41
nodeClick,11:08:41
nodeClick,11:08:43
nodeClick,11:08:44
magicModify-start,11:08:47
magicModify-finished,11:08:54
magicModifyPhase-start,11:09:32
magicModifyPhase-finished,11:09:34
nodeClick,11:09:42
nodeClick,11:09:46
nodeClick,11:09:46
nodeClick,11:09:49
nodeClick,11:09:58
newNodeAdd,11:12:29
newNodeAdd,11:12:50
