type,time
start,11:13:07
authoringNEW-start,11:13:12
authoring-finished,11:13:15
authoringNEW-start,11:13:47
authoring-finished,11:13:51
authoringNEW-start,11:14:26
authoring-finished,11:14:28
authoringNEW-start,11:14:29
authoring-finished,11:14:33
authoringNEW-start,11:14:45
authoring-finished,11:14:49
authoringNEW-start,11:15:29
authoring-finished,11:15:33
authoringNEW-start,11:16:06
authoring-finished,11:16:08
nl2js-start,11:16:08
nl2js-finished,11:16:15
js2NLexplain-start,11:16:15
js2NLexplain-finished,11:16:24
js2flow-start,11:16:24
js2flow-finished,11:16:57
nodeClick,11:17:26
nodeClick,11:17:28
nodeClick,11:17:31
nodeClick,11:17:32
nodeClick,11:17:32
magicModify-start,11:17:49
magicModify-finished,11:17:55
nodeClick,11:18:13
nodeClick,11:18:13
nodeClick,11:18:15
nodeClick,11:18:16
nodeClick,11:18:19
nodeClick,11:18:20
nodeClick,11:18:20
nodeClick,11:18:22
nodeClick,11:18:25
nodeClick,11:18:26
nodeClick,11:18:28
nodeClick,11:18:28
nodeClick,11:18:34
nodeClick,11:18:34
nodeClick,11:18:46
nodeClick,11:18:47
nodeClick,11:18:48
