type,time
start,11:01:57
authoringNEW-start,11:03:18
authoring-finished,11:03:21
authoringNEW-start,11:03:54
authoring-finished,11:03:57
authoringNEW-start,11:04:11
authoring-finished,11:04:13
nl2js-start,11:04:13
nl2js-finished,11:04:16
js2NLexplain-start,11:04:16
js2flow-start,11:04:24
js2NLexplain-finished,11:04:24
js2flow-finished,11:04:41
nodeClick,11:05:08
nodeClick,11:05:10
start,11:06:44
authoringNEW-start,11:07:30
authoring-finished,11:07:33
authoringNEW-start,11:07:40
authoring-finished,11:07:41
nl2js-start,11:07:41
js2NLexplain-start,11:07:48
nl2js-finished,11:07:48
js2NLexplain-finished,11:07:55
js2flow-start,11:07:56
js2flow-finished,11:08:25
nodeClick,11:08:35
nodeClick,11:08:39
nodeClick,11:08:41
nodeClick,11:08:41
nodeClick,11:08:43
nodeClick,11:08:44
magicModify-start,11:08:47
magicModify-finished,11:08:54
magicModifyPhase-start,11:09:32
magicModifyPhase-finished,11:09:34
nodeClick,11:09:42
nodeClick,11:09:46
nodeClick,11:09:46
nodeClick,11:09:49
nodeClick,11:09:58
newNodeAdd,11:12:29
newNodeAdd,11:12:50
start,11:13:07
authoringNEW-start,11:13:12
authoring-finished,11:13:15
authoringNEW-start,11:13:47
authoring-finished,11:13:51
authoringNEW-start,11:14:26
authoring-finished,11:14:28
authoringNEW-start,11:14:29
authoring-finished,11:14:33
authoringNEW-start,11:14:45
authoring-finished,11:14:49
authoringNEW-start,11:15:29
authoring-finished,11:15:33
authoringNEW-start,11:16:06
authoring-finished,11:16:08
nl2js-start,11:16:08
nl2js-finished,11:16:15
js2NLexplain-start,11:16:15
js2NLexplain-finished,11:16:24
js2flow-start,11:16:24
js2flow-finished,11:16:57
nodeClick,11:17:26
nodeClick,11:17:28
nodeClick,11:17:31
nodeClick,11:17:32
nodeClick,11:17:32
magicModify-start,11:17:49
magicModify-finished,11:17:55
nodeClick,11:18:13
nodeClick,11:18:13
nodeClick,11:18:15
nodeClick,11:18:16
nodeClick,11:18:19
nodeClick,11:18:20
nodeClick,11:18:20
nodeClick,11:18:22
nodeClick,11:18:25
nodeClick,11:18:26
nodeClick,11:18:28
nodeClick,11:18:28
nodeClick,11:18:34
nodeClick,11:18:34
nodeClick,11:18:46
nodeClick,11:18:47
nodeClick,11:18:48
