type,time
start,11:22:22
authoringNEW-start,11:24:56
authoring-finished,11:25:00
authoringNEW-start,11:25:15
authoring-finished,11:25:16
nl2js-start,11:25:17
nl2js-finished,11:25:21
js2NLexplain-start,11:25:21
js2NLexplain-finished,11:25:26
js2flow-start,11:25:26
js2flow-finished,11:25:53
nodeClick,11:26:10
nodeClick,11:26:12
nodeClick,11:26:16
AutoLayout,11:26:18
AutoLayout,11:26:19
nodeClick,11:26:22
nodeClick,11:26:23
nodeClick,11:26:24
nodeClick,11:26:25
nodeClick,11:26:27
nodeClick,11:26:28
nodeClick,11:26:29
nodeClick,11:26:31
nodeClick,11:26:47
nodeClick,11:27:00
nodeClick,11:27:03
nodeClick,11:27:04
nodeClick,11:27:06
nodeClick,11:27:06
nodeClick,11:27:20
magicModify-start,11:27:21
magicModify-finished,11:27:25
magicModify-start,11:28:13
magicModify-finished,11:28:13
magicModifyPhase-start,11:28:21
magicModifyPhase-finished,11:28:25
nl2jswithContext-start,11:28:50
nl2jswithContext-finished,11:29:05
explainModifiedJS-start,11:29:05
explainModifiedJS-finished,11:29:08
js2flow-start,11:29:08
nodeClick,11:29:23
nodeClick,11:29:25
nodeClick,11:29:27
nodeClick,11:29:29
nodeClick,11:29:29
nodeClick,11:29:30
nodeClick,11:29:39
nodeClick,11:29:39
js2flow-finished,11:29:42
nodeClick,11:29:45
nodeClick,11:29:47
nodeClick,11:29:49
nodeClick,11:29:53
AutoLayout,11:29:55
AutoLayout,11:29:55
AutoLayout,11:29:56
nodeClick,11:33:29
magicModify-start,11:33:34
magicModify-finished,11:33:37
magicModifyPhase-start,11:33:57
magicModifyPhase-finished,11:34:15
js2flow-start,11:34:15
js2flow-finished,11:34:49
nodeClick,11:34:57
nodeClick,11:34:58
nodeClick,11:35:06
nodeClick,11:35:07
nodeClick,11:35:09
nodeClick,11:35:09
nodeClick,11:35:09
nodeClick,11:35:18
magicModify-start,11:35:21
magicModify-finished,11:35:26
magicModifyPhase-start,11:36:25
nodeClick,11:36:44
nodeClick,11:36:44
nodeClick,11:36:45
magicModifyPhase-finished,11:36:46
js2flow-start,11:36:46
nodeClick,11:36:46
nodeClick,11:36:48
nodeClick,11:36:49
nodeClick,11:36:50
nodeClick,11:36:50
nodeClick,11:36:51
nodeClick,11:36:51
nodeClick,11:36:52
nodeClick,11:36:53
js2flow-finished,11:37:14
nodeClick,11:37:16
nodeClick,11:37:18
nodeClick,11:37:21
nodeClick,11:37:22
nodeClick,11:37:29
nodeClick,11:37:35
nodeClick,11:37:47
nodeClick,11:37:48
