type,time
start,11:40:07
authoringNEW-start,11:51:58
authoring-finished,11:52:06
authoringNEW-start,11:52:18
authoring-finished,11:52:19
nl2js-start,11:52:19
nl2js-finished,11:52:28
js2NLexplain-start,11:52:28
js2NLexplain-finished,11:52:35
js2flow-start,11:52:35
js2flow-finished,11:53:12
nodeClick,11:53:38
nodeClick,11:53:44
nodeClick,11:53:45
nodeClick,11:53:48
nodeClick,11:53:53
nodeClick,11:53:58
nodeClick,11:54:00
nodeClick,11:54:00
nl2jswithContext-start,11:54:30
nl2jswithContext-finished,11:54:53
