type,time
start,11:59:59
authoringNEW-start,12:00:03
authoring-finished,12:00:08
authoringNEW-start,12:02:41
authoring-finished,12:02:45
authoringNEW-start,12:02:54
authoring-finished,12:02:56
nl2js-start,12:02:56
nl2js-finished,12:03:01
js2NLexplain-start,12:03:01
js2NLexplain-finished,12:03:08
js2flow-start,12:03:08
js2flow-finished,12:03:39
nodeClick,12:03:43
nodeClick,12:03:48
nodeClick,12:03:56
nodeClick,12:03:59
nodeClick,12:04:02
nodeClick,12:04:04
nodeClick,12:04:06
nodeClick,12:04:06
nodeClick,12:04:06
nodeClick,12:04:15
nodeClick,12:04:19
nodeClick,12:04:19
nodeClick,12:04:21
nodeClick,12:04:25
nodeClick,12:04:32
nodeClick,12:04:33
nodeClick,12:04:35
nodeClick,12:04:56
nodeClick,12:05:03
nodeClick,12:05:04
nodeClick,12:05:05
nodeClick,12:05:12
nl2jswithContext-start,12:05:28
nodeClick,12:05:55
nl2jswithContext-finished,12:05:57
explainModifiedJS-start,12:05:57
nodeClick,12:05:59
explainModifiedJS-finished,12:06:01
js2flow-start,12:06:01
js2flow-finished,12:06:29
nodeClick,12:06:38
nodeClick,12:06:39
nodeClick,12:06:40
nodeClick,12:06:52
nodeClick,12:07:01
nodeClick,12:07:01
nodeClick,12:07:01
