type,time
start,12:07:33
authoringNEW-start,12:07:44
authoring-finished,12:07:52
authoringNEW-start,12:08:19
authoring-finished,12:08:20
nl2js-start,12:08:20
nl2js-finished,12:08:28
js2NLexplain-start,12:08:28
js2NLexplain-finished,12:08:36
js2flow-start,12:08:36
js2flow-finished,12:09:15
nodeClick,12:09:27
nodeClick,12:09:30
nodeClick,12:09:32
nodeClick,12:09:35
nodeClick,12:09:38
nodeClick,12:09:39
nodeClick,12:09:54
magicModify-start,12:10:02
magicModify-finished,12:10:07
magicModifyPhase-start,12:12:15
magicModifyPhase-finished,12:12:54
js2flow-start,12:12:55
js2flow-finished,12:13:37
nodeClick,12:13:45
nodeClick,12:13:45
magicModify-start,12:13:53
magicModify-finished,12:13:57
magicModifyPhase-start,12:15:14
magicModifyPhase-finished,12:15:52
js2flow-start,12:15:52
js2flow-finished,12:16:36
nodeClick,12:21:04
nodeClick,12:21:05
nodeClick,12:21:05
nodeClick,12:21:07
nodeClick,12:21:08
nodeClick,12:21:09
nodeClick,12:21:10
nodeClick,12:21:12
nl2jswithContext-start,12:22:59
nl2jswithContext-finished,12:23:26
explainModifiedJS-start,12:23:26
explainModifiedJS-finished,12:23:30
js2flow-start,12:23:30
js2flow-finished,12:24:10
nl2jswithContext-start,12:25:43
nl2jswithContext-finished,12:26:10
explainModifiedJS-start,12:26:10
explainModifiedJS-finished,12:26:14
js2flow-start,12:26:14
js2flow-finished,12:26:55
