type,time
start,12:37:07
authoringNEW-start,12:41:04
authoring-finished,12:41:09
authoringNEW-start,12:41:14
authoring-finished,12:41:15
nl2js-start,12:41:16
nl2js-finished,12:41:23
js2NLexplain-start,12:41:23
js2NLexplain-finished,12:41:32
js2flow-start,12:41:32
js2flow-finished,12:42:21
nodeClick,12:42:42
nodeClick,12:42:56
nodeClick,12:42:59
nodeClick,12:43:04
nodeClick,12:43:06
nodeClick,12:43:12
nodeClick,12:43:21
nodeClick,12:43:21
nodeClick,12:43:23
nodeClick,12:43:24
nodeClick,12:43:31
nodeClick,12:43:33
nodeClick,12:43:33
magicModify-start,12:43:35
magicModify-finished,12:43:39
magicModifyPhase-start,12:44:15
nodeClick,12:44:18
magicModifyPhase-finished,12:44:18
nodeClick,12:44:19
magicModify-start,12:44:20
magicModify-finished,12:44:24
magicModifyPhase-start,12:44:59
nodeClick,12:45:21
nodeClick,12:45:23
nodeClick,12:45:26
magicModifyPhase-finished,12:45:36
js2flow-start,12:45:36
nodeClick,12:45:52
nodeClick,12:45:53
nodeClick,12:45:54
nodeClick,12:45:56
nodeClick,12:45:57
nodeClick,12:46:01
nodeClick,12:46:02
nodeClick,12:46:03
nodeClick,12:46:04
nodeClick,12:46:06
nodeClick,12:46:07
nodeClick,12:46:09
nodeClick,12:46:11
nodeClick,12:46:11
nodeClick,12:46:11
Node update,12:46:18
nodeClick,12:46:24
nodeClick,12:46:24
nodeClick,12:46:25
js2flow-finished,12:46:35
nl2jswithContext-start,12:47:09
nl2jswithContext-finished,12:47:31
explainModifiedJS-start,12:47:31
explainModifiedJS-finished,12:47:36
js2flow-start,12:47:36
js2flow-finished,12:48:11
nl2jswithContext-start,12:48:49
nl2jswithContext-finished,12:49:27
explainModifiedJS-start,12:49:27
explainModifiedJS-finished,12:49:36
js2flow-start,12:49:36
js2flow-finished,12:51:02
