type,time
start,12:56:16
authoringNEW-start,12:56:18
authoring-finished,12:56:18
authoringNEW-start,12:56:21
authoring-finished,12:56:23
nl2js-start,12:56:23
nl2js-finished,12:56:23
js2NLexplain-start,12:56:23
js2NLexplain-finished,12:56:31
js2flow-start,12:56:31
js2flow-finished,12:57:23
nodeClick,12:57:56
nodeClick,12:58:07
nodeClick,12:58:08
nodeClick,12:58:11
nodeClick,12:58:12
nodeClick,12:58:12
nodeClick,12:58:19
nodeClick,12:58:20
nodeClick,12:58:30
nodeClick,12:58:32
nodeClick,12:58:33
nodeClick,12:58:34
nodeClick,12:58:36
nodeClick,12:58:39
nodeClick,12:58:41
nodeClick,12:58:43
magicModify-start,12:58:44
magicModify-finished,12:58:50
magicModifyPhase-start,12:59:48
nodeClick,13:00:18
nodeClick,13:00:18
nodeClick,13:00:20
nodeClick,13:00:21
nodeClick,13:00:25
nodeClick,13:00:31
nodeClick,13:00:32
magicModifyPhase-finished,13:00:33
js2flow-start,13:00:33
nodeClick,13:00:34
nodeClick,13:00:35
nodeClick,13:00:36
nodeClick,13:00:37
nodeClick,13:00:37
nodeClick,13:01:12
nodeClick,13:01:17
nodeClick,13:01:18
nodeClick,13:01:18
nodeClick,13:01:42
js2flow-finished,13:01:44
nodeClick,13:02:02
nodeClick,13:02:02
nodeClick,13:02:03
nodeClick,13:02:05
nodeClick,13:02:06
nodeClick,13:02:07
nodeClick,13:02:09
nodeClick,13:02:10
nodeClick,13:02:15
nodeClick,13:02:21
nodeClick,13:02:22
nodeClick,13:02:23
nodeClick,13:02:25
nodeClick,13:02:26
nodeClick,13:02:27
nodeClick,13:02:30
nodeClick,13:02:33
nodeClick,13:02:37
magicModify-start,13:02:38
magicModify-finished,13:02:43
magicModifyPhase-start,13:03:04
nodeClick,13:03:27
nodeClick,13:03:31
nodeClick,13:03:32
nodeClick,13:03:34
nodeClick,13:03:36
nodeClick,13:03:37
nodeClick,13:03:39
magicModifyPhase-finished,13:03:42
js2flow-start,13:03:42
nodeClick,13:04:29
nodeClick,13:04:31
nodeClick,13:04:33
nodeClick,13:04:34
nodeClick,13:04:34
nodeClick,13:04:39
js2flow-finished,13:04:45
nodeClick,13:05:16
nodeClick,13:05:49
nodeClick,13:05:56
nodeClick,13:05:57
nodeClick,13:05:57
nodeClick,13:05:58
nodeClick,13:06:05
nodeClick,13:06:06
nodeClick,13:06:07
nodeClick,13:06:21
nodeClick,13:07:47
nodeClick,13:07:47
nodeClick,13:07:49
nodeClick,13:09:56
AutoLayout,13:11:45
flow2js-start,13:11:56
nodeClick,13:12:09
nodeClick,13:12:10
nodeClick,13:12:18
flow2js-finished,13:12:31
explainModifiedJS-start,13:12:31
nodeClick,13:12:33
explainModifiedJS-finished,13:12:36
nodeClick,13:20:03
nodeClick,13:20:03
nodeClick,13:20:04
nodeClick,13:20:04
nodeClick,13:20:05
nodeClick,13:20:05
nodeClick,13:20:07
nodeClick,13:20:07
nodeClick,13:20:08
nodeClick,13:20:08
nodeClick,13:20:09
nodeClick,13:20:10
