type,time
start,15:01:03
authoringNEW-start,15:01:40
authoring-finished,15:01:45
authoringNEW-start,15:02:45
authoring-finished,15:02:51
authoringNEW-start,15:03:02
authoring-finished,15:03:03
nl2js-start,15:03:03
nl2js-finished,15:03:12
js2NLexplain-start,15:03:12
js2NLexplain-finished,15:03:27
js2flow-start,15:03:27
js2flow-finished,15:04:29
nodeClick,15:04:36
nodeClick,15:04:37
nodeClick,15:04:37
nodeClick,15:04:39
nodeClick,15:04:39
nodeClick,15:04:40
nodeClick,15:04:52
nodeClick,15:04:53
nodeClick,15:04:53
Node update,15:05:02
nodeClick,15:05:02
nodeClick,15:05:05
nodeClick,15:05:05
Node update,15:05:31
flow2js-start,15:06:56
flow2js-finished,15:07:22
explainModifiedJS-start,15:07:22
explainModifiedJS-finished,15:07:29
nodeClick,15:10:15
nodeClick,15:10:23
nodeClick,15:10:35
nodeClick,15:10:45
nodeClick,15:10:48
nl2jswithContext-start,15:10:56
nl2jswithContext-finished,15:11:17
explainModifiedJS-start,15:11:17
explainModifiedJS-finished,15:11:22
nodeClick,15:11:22
js2flow-start,15:11:22
js2flow-finished,15:12:00
