type,time
start,15:12:06
authoringNEW-start,15:12:16
authoring-finished,15:12:19
authoringNEW-start,15:12:43
authoring-finished,15:12:46
authoringNEW-start,15:13:02
authoring-finished,15:13:05
authoringNEW-start,15:13:07
authoring-finished,15:13:08
nl2js-start,15:13:08
nl2js-finished,15:13:12
js2NLexplain-start,15:13:12
js2NLexplain-finished,15:13:19
js2flow-start,15:13:19
js2flow-finished,15:13:38
flow2js-start,15:14:04
flow2js-finished,15:14:17
explainModifiedJS-start,15:14:17
explainModifiedJS-finished,15:14:21
nl2jswithContext-start,15:17:20
nl2jswithContext-finished,15:17:46
explainModifiedJS-start,15:17:47
explainModifiedJS-finished,15:17:51
js2flow-start,15:17:51
js2flow-finished,15:18:41
