type,time
start,15:26:50
authoringNEW-start,15:29:58
authoring-finished,15:30:02
authoringNEW-start,15:30:08
authoring-finished,15:30:10
nl2js-start,15:30:10
nl2js-finished,15:30:16
js2NLexplain-start,15:30:16
js2NLexplain-finished,15:30:26
js2flow-start,15:30:26
js2flow-finished,15:30:52
flow2js-start,15:31:15
flow2js-finished,15:31:33
explainModifiedJS-start,15:31:34
explainModifiedJS-finished,15:31:38
nodeClick,15:31:46
nodeClick,15:31:46
nodeClick,15:31:49
nodeClick,15:31:49
nodeClick,15:31:50
nodeClick,15:32:46
nodeClick,15:32:49
newNodeAdd,15:32:54
nodeClick,15:33:02
nodeClick,15:33:04
nodeClick,15:33:06
nodeClick,15:33:06
nodeClick,15:33:06
nodeClick,15:33:07
nodeClick,15:33:07
Node update,15:33:17
nodeClick,15:33:25
nodeClick,15:33:30
nodeClick,15:33:43
newNodeAdd,15:33:44
nodeClick,15:33:54
nodeClick,15:33:54
Node update,15:33:57
flow2js-start,15:34:07
nodeClick,15:34:15
flow2js-start,15:34:20
flow2js-finished,15:34:32
explainModifiedJS-start,15:34:32
explainModifiedJS-finished,15:34:37
flow2js-finished,15:34:44
explainModifiedJS-start,15:34:44
explainModifiedJS-finished,15:34:50
nodeClick,15:37:59
nodeClick,15:38:00
nodeClick,15:38:01
flow2js-start,15:38:05
AutoLayout,15:38:12
flow2js-finished,15:38:24
explainModifiedJS-start,15:38:24
explainModifiedJS-finished,15:38:29
