type,time
start,15:43:53
authoringNEW-start,15:45:56
authoring-finished,15:46:00
authoringNEW-start,15:46:03
authoring-finished,15:46:04
nl2js-start,15:46:04
nl2js-finished,15:46:11
js2NLexplain-start,15:46:11
js2NLexplain-finished,15:46:19
js2flow-start,15:46:19
js2flow-finished,15:46:54
nodeClick,15:50:25
nodeClick,15:50:28
nodeClick,15:50:29
nodeClick,15:50:36
nodeClick,15:50:37
nodeClick,15:50:38
nodeClick,15:50:43
nodeClick,15:50:44
nodeClick,15:50:45
newNodeAdd,15:52:45
nodeClick,15:52:55
AutoLayout,15:53:09
nodeClick,15:53:12
nodeClick,15:53:24
nodeClick,15:53:24
newNodeAdd,15:53:35
nodeClick,15:53:54
nodeClick,15:53:54
nodeClick,15:54:25
AutoLayout,15:54:39
nodeClick,15:54:48
nodeClick,15:54:55
nodeClick,15:54:56
nodeClick,15:55:03
