type,time
start,19:03:29
authoringNEW-start,19:05:46
authoring-finished,19:05:50
authoringNEW-start,19:06:11
authoring-finished,19:06:13
nl2js-start,19:06:13
nl2js-finished,19:06:19
js2NLexplain-start,19:06:19
js2NLexplain-finished,19:06:26
js2flow-start,19:06:26
js2flow-finished,19:06:59
nodeClick,19:08:32
nodeClick,19:08:44
nodeClick,19:08:46
magicModify-start,19:08:48
magicModify-finished,19:08:55
magicModifyPhase-start,19:09:40
magicModifyPhase-finished,19:10:09
js2flow-start,19:10:09
js2flow-finished,19:10:47
nodeClick,19:11:23
nodeClick,19:11:25
flow2js-start,19:11:35
flow2js-finished,19:11:58
explainModifiedJS-start,19:11:58
explainModifiedJS-finished,19:12:04
