type,time
start,19:19:55
authoringNEW-start,19:19:59
authoring-finished,19:20:03
authoringNEW-start,19:20:16
authoring-finished,19:20:18
nl2js-start,19:20:18
nl2js-finished,19:20:19
js2NLexplain-start,19:20:19
js2NLexplain-finished,19:20:19
js2flow-start,19:20:19
js2flow-finished,19:20:19
nodeClick,19:20:31
nodeClick,19:20:31
Node update,19:20:41
nodeClick,19:20:45
nodeClick,19:20:46
nodeClick,19:20:49
nodeClick,19:20:53
nodeClick,19:20:54
nodeClick,19:20:55
nodeClick,19:20:55
nodeClick,19:20:56
nodeClick,19:20:57
AutoLayout,19:21:00
