type,time
start,19:21:13
authoringNEW-start,19:21:26
authoring-finished,19:21:27
authoringNEW-start,19:21:34
authoring-finished,19:21:34
nl2js-start,19:21:34
nl2js-finished,19:21:35
js2NLexplain-start,19:21:35
js2NLexplain-finished,19:21:35
js2flow-start,19:21:35
js2flow-finished,19:21:36
nodeClick,19:21:48
nodeClick,19:21:48
nodeClick,19:21:51
nodeClick,19:21:52
nodeClick,19:21:53
nodeClick,19:21:54
nodeClick,19:22:20
nodeClick,19:22:22
nodeClick,19:22:22
nodeClick,19:22:24
nodeClick,19:22:27
nodeClick,19:22:27
nodeClick,19:22:35
nodeClick,19:22:36
nodeClick,19:22:37
nodeClick,19:22:38
