type,time
start,19:23:04
authoringNEW-start,19:23:09
authoring-finished,19:23:13
authoringNEW-start,19:23:32
authoring-finished,19:23:33
nl2js-start,19:23:33
nl2js-finished,19:23:38
js2NLexplain-start,19:23:38
js2NLexplain-finished,19:23:45
js2flow-start,19:23:45
js2flow-finished,19:24:10
nodeClick,19:24:41
nodeClick,19:24:44
nl2jswithContext-start,19:25:57
nl2jswithContext-finished,19:26:17
explainModifiedJS-start,19:26:17
explainModifiedJS-finished,19:26:24
js2flow-start,19:26:24
js2flow-finished,19:27:00
