type,time
start,19:28:27
authoringNEW-start,19:28:32
authoring-finished,19:28:37
authoringNEW-start,19:28:44
authoring-finished,19:28:45
nl2js-start,19:28:45
nl2js-finished,19:28:50
js2NLexplain-start,19:28:50
js2NLexplain-finished,19:28:58
js2flow-start,19:28:58
js2flow-finished,19:29:27
nodeClick,19:32:07
nodeClick,19:32:09
nodeClick,19:32:12
nodeClick,19:32:13
nodeClick,19:32:13
nodeClick,19:32:21
nodeClick,19:32:21
nodeClick,19:32:21
nodeClick,19:32:28
nodeClick,19:32:28
nodeClick,19:32:29
nodeClick,19:32:29
nodeClick,19:32:30
nodeClick,19:32:30
nodeClick,19:32:39
nodeClick,19:32:40
nodeClick,19:32:40
magicModify-start,19:32:42
magicModify-finished,19:32:49
magicModifyPhase-start,19:33:44
magicModifyPhase-finished,19:34:09
js2flow-start,19:34:09
js2flow-finished,19:34:41
nl2jswithContext-start,19:36:54
nl2jswithContext-finished,19:37:11
