type,time
start,19:37:01
authoringNEW-start,19:37:07
authoring-finished,19:37:11
authoringNEW-start,19:37:27
authoring-finished,19:37:29
nl2js-start,19:37:29
nl2js-finished,19:37:33
js2NLexplain-start,19:37:33
js2NLexplain-finished,19:37:34
js2flow-start,19:37:35
js2flow-finished,19:37:35
nodeClick,19:38:44
nodeClick,19:38:54
nodeClick,19:38:54
nodeClick,19:38:55
magicModify-start,19:39:03
magicModify-finished,19:39:11
magicModifyPhase-start,19:40:24
magicModifyPhase-finished,19:40:53
js2flow-start,19:40:53
js2flow-finished,19:41:26
