type,time
start,18:48:57
nodeClick,18:55:29
nodeClick,18:55:29
authoringNEW-start,18:57:05
authoring-finished,18:57:07
authoringNEW-start,18:57:31
authoring-finished,18:57:33
nl2js-start,18:57:33
nl2js-finished,18:57:36
js2NLexplain-start,18:57:36
js2NLexplain-finished,18:57:40
js2flow-start,18:57:40
js2flow-finished,18:57:56
nl2jswithContext-start,19:00:16
nl2jswithContext-finished,19:00:33
explainModifiedJS-start,19:00:33
explainModifiedJS-finished,19:00:40
js2flow-start,19:00:40
js2flow-finished,19:01:07
nodeClick,19:01:33
magicModify-start,19:01:35
magicModify-finished,19:01:40
