type,time
start,09:46:23
authoringNEW-start,09:46:49
authoring-finished,09:46:50
authoringNEW-start,09:47:19
authoring-finished,09:47:22
authoringNEW-start,09:47:51
authoring-finished,09:47:53
authoringNEW-start,09:48:30
authoring-finished,09:48:33
authoringNEW-start,09:48:59
authoring-finished,09:49:02
authoringNEW-start,09:49:31
authoring-finished,09:49:34
authoringNEW-start,09:49:48
authoring-finished,09:49:52
authoringNEW-start,09:50:03
authoring-finished,09:50:05
nl2js-start,09:50:05
nl2js-finished,09:50:10
js2NLexplain-start,09:50:10
js2NLexplain-finished,09:50:17
js2flow-start,09:50:17
js2flow-finished,09:50:52
nodeClick,09:51:08
nodeClick,09:51:35
nodeClick,09:51:36
nodeClick,09:51:38
nodeClick,09:51:42
nodeClick,09:51:57
nodeClick,09:52:00
nodeClick,09:52:03
nodeClick,09:52:08
nodeClick,09:52:13
nodeClick,09:52:13
Node update,09:52:19
