type,time
start,14:00:51
authoringNEW-start,14:01:37
authoring-finished,14:01:39
authoringNEW-start,14:01:52
authoring-finished,14:01:55
authoringNEW-start,14:02:07
authoring-finished,14:02:08
nl2js-start,14:02:09
nl2js-finished,14:02:19
js2NLexplain-start,14:02:20
js2NLexplain-finished,14:02:37
js2flow-start,14:02:37
js2flow-finished,14:03:56
nl2jswithContext-start,14:05:44
nl2jswithContext-finished,14:07:07
explainModifiedJS-start,14:07:07
explainModifiedJS-finished,14:07:11
js2flow-start,14:07:11
js2flow-finished,14:08:52
newNodeAdd,14:09:06
