type,time
start,14:20:57
authoringNEW-start,14:22:19
authoring-finished,14:22:21
authoringNEW-start,14:22:47
authoring-finished,14:22:49
authoringNEW-start,14:23:29
authoring-finished,14:23:32
authoringNEW-start,14:23:41
authoring-finished,14:23:42
nl2js-start,14:23:42
nl2js-finished,14:23:47
js2NLexplain-start,14:23:48
js2NLexplain-finished,14:23:55
js2flow-start,14:23:55
authoringNEW-start,14:24:15
authoring-finished,14:24:16
nl2js-start,14:24:16
nl2js-finished,14:24:17
js2NLexplain-start,14:24:17
js2NLexplain-finished,14:24:17
js2flow-start,14:24:17
js2flow-finished,14:24:23
flow2js-start,14:24:33
js2flow-finished,14:24:43
flow2js-finished,14:24:48
explainModifiedJS-start,14:24:48
explainModifiedJS-finished,14:24:51
nl2jswithContext-start,14:28:05
nl2jswithContext-finished,14:28:20
explainModifiedJS-start,14:28:20
explainModifiedJS-finished,14:28:25
js2flow-start,14:28:25
nodeClick,14:28:43
js2flow-finished,14:28:57
nodeClick,14:29:01
AutoLayout,14:29:08
flow2js-start,14:29:25
flow2js-finished,14:29:43
explainModifiedJS-start,14:29:43
explainModifiedJS-finished,14:29:50
AutoLayout,14:31:14
flow2js-start,14:31:17
flow2js-finished,14:31:34
explainModifiedJS-start,14:31:34
explainModifiedJS-finished,14:31:38
