type,time
start,14:33:49
authoringNEW-start,14:36:35
authoring-finished,14:36:38
authoringNEW-start,14:36:58
authoring-finished,14:37:01
authoringNEW-start,14:37:14
authoring-finished,14:37:17
authoringNEW-start,14:37:25
authoring-finished,14:37:27
nl2js-start,14:37:27
nl2js-finished,14:37:32
js2NLexplain-start,14:37:32
js2NLexplain-finished,14:37:38
js2flow-start,14:37:38
js2flow-finished,14:38:04
nodeClick,14:38:49
nodeClick,14:38:49
nodeClick,14:38:49
nodeClick,14:38:50
nodeClick,14:38:50
nodeClick,14:38:55
magicModify-start,14:38:57
nodeClick,14:38:59
nodeClick,14:38:59
nodeClick,14:38:59
nodeClick,14:39:01
nodeClick,14:39:02
magicModify-finished,14:39:02
Node update,14:39:40
flow2js-start,14:39:43
flow2js-finished,14:40:04
explainModifiedJS-start,14:40:05
explainModifiedJS-finished,14:40:26
