time,content,type,sessionID,createdAt
16:14:50,start a new session,start,b9739a4e-dc45-414c-bac5-cbf1095f29ff,08-22-16-14-50
16:16:17,预约开会,nodeClick,b9739a4e-dc45-414c-bac5-cbf1095f29ff,08-22-16-14-50
16:16:17,预约开会,nodeClick,b9739a4e-dc45-414c-bac5-cbf1095f29ff,08-22-16-14-50
16:16:28,"{'label': '', 'name': 'USERREQUEST', 'tooltip': '预约开会', 'variable': '', 'action': '预约开会'}",Node update,b9739a4e-dc45-414c-bac5-cbf1095f29ff,08-22-16-14-50
16:16:32,"{'label': '', 'name': 'USERREQUEST', 'tooltip': '预约开会', 'variable': '', 'action': '预约开会'}",Node update,b9739a4e-dc45-414c-bac5-cbf1095f29ff,08-22-16-14-50
16:17:12,巡逻,nodeClick,b9739a4e-dc45-414c-bac5-cbf1095f29ff,08-22-16-14-50
16:18:15,我的机器人个性化服务定制需求：从会客厅走到作品展示区，再走到接待区，再走到员工办公区,authoringNEW-start,b9739a4e-dc45-414c-bac5-cbf1095f29ff,08-22-16-14-50
16:18:18,"<require>
1. 从会客厅走到作品展示区
2. 再走到接待区
3. 再走到员工办公区
</require>",authoring-finished,b9739a4e-dc45-414c-bac5-cbf1095f29ff,08-22-16-14-50
16:18:48,我的机器人个性化服务定制需求：从会客厅走到作品展示区，再走到接待区，再走到员工办公区,authoringNEW-start,b9739a4e-dc45-414c-bac5-cbf1095f29ff,08-22-16-14-50
16:18:51,"<modifiedrequire>
1. 从会客厅走到作品展示区
2. 中途如果检测到有人，开始提醒服务
3. 再走到接待区
4. 再走到员工办公区
</modifiedrequire>",authoring-finished,b9739a4e-dc45-414c-bac5-cbf1095f29ff,08-22-16-14-50
