type,time
start,16:20:34
authoringNEW-start,16:20:52
authoring-finished,16:20:55
authoringNEW-start,16:22:41
authoring-finished,16:22:45
authoringNEW-start,16:23:11
authoring-finished,16:23:12
nl2js-start,16:23:13
nl2js-finished,16:23:17
js2NLexplain-start,16:23:17
js2NLexplain-finished,16:23:23
js2flow-start,16:23:23
js2flow-finished,16:23:46
nodeClick,16:23:59
nodeClick,16:24:28
nodeClick,16:24:29
nodeClick,16:24:30
nodeClick,16:24:46
nodeClick,16:24:47
nodeClick,16:24:48
nodeClick,16:24:57
nodeClick,16:25:59
nodeClick,16:26:00
nodeClick,16:26:01
