type,time
start,18:28:12
AutoLayout,18:28:15
authoringNEW-start,18:32:47
authoring-finished,18:32:51
authoringNEW-start,18:33:03
authoring-finished,18:33:04
nl2js-start,18:33:05
nl2js-finished,18:33:11
js2NLexplain-start,18:33:11
js2NLexplain-finished,18:33:18
js2flow-start,18:33:18
js2flow-finished,18:34:03
nodeClick,18:34:34
nodeClick,18:34:37
nodeClick,18:34:42
nodeClick,18:34:43
nodeClick,18:34:43
nodeClick,18:34:48
nodeClick,18:34:48
nodeClick,18:35:09
nodeClick,18:35:10
nodeClick,18:35:10
nodeClick,18:35:39
nodeClick,18:35:45
nodeClick,18:35:57
nodeClick,18:36:13
magicModify-start,18:36:15
magicModify-finished,18:36:20
magicModifyPhase-start,18:36:36
nodeClick,18:36:51
nodeClick,18:36:53
nodeClick,18:36:54
nodeClick,18:36:54
nodeClick,18:36:54
nodeClick,18:36:56
nodeClick,18:36:56
magicModifyPhase-finished,18:37:05
js2flow-start,18:37:06
nodeClick,18:37:14
nodeClick,18:37:15
nodeClick,18:37:22
nodeClick,18:37:23
js2flow-finished,18:37:44
nodeClick,18:38:14
nodeClick,18:38:14
nodeClick,18:38:27
nodeClick,18:38:32
