type,time
start,18:39:09
authoringNEW-start,18:42:42
authoring-finished,18:42:47
authoringNEW-start,18:43:08
authoring-finished,18:43:10
nl2js-start,18:43:10
nl2js-finished,18:43:15
js2NLexplain-start,18:43:15
js2NLexplain-finished,18:43:21
js2flow-start,18:43:21
js2flow-finished,18:44:04
nodeClick,18:44:39
nodeClick,18:44:46
nodeClick,18:44:49
nodeClick,18:44:49
magicModify-start,18:44:51
magicModify-finished,18:44:55
nodeClick,18:45:13
nodeClick,18:45:13
magicModify-start,18:45:14
magicModify-finished,18:45:22
nodeClick,18:46:10
nodeClick,18:46:12
nodeClick,18:46:12
nodeClick,18:46:14
magicModify-start,18:46:15
magicModify-finished,18:46:20
nodeClick,18:47:07
nodeClick,18:47:13
nodeClick,18:47:13
nodeClick,18:47:13
nodeClick,18:47:28
nodeClick,18:47:30
nodeClick,18:47:30
magicModifyPhase-start,18:47:59
nodeClick,18:48:25
magicModifyPhase-finished,18:48:26
js2flow-start,18:48:26
nodeClick,18:48:32
js2flow-finished,18:49:17
nodeClick,18:49:32
nodeClick,18:49:35
nodeClick,18:49:53
nodeClick,18:49:53
nodeClick,18:50:09
nodeClick,18:50:09
magicModify-start,18:50:10
magicModify-finished,18:50:14
nodeClick,18:50:31
nodeClick,18:53:16
magicModify-start,18:53:39
magicModify-finished,18:54:02
nodeClick,18:54:16
nodeClick,18:54:16
nodeClick,18:54:16
nodeClick,18:55:31
nodeClick,18:55:32
nodeClick,18:55:33
magicModifyPhase-start,18:56:43
magicModifyPhase-finished,18:57:09
js2flow-start,18:57:09
js2flow-finished,18:57:56
nodeClick,19:00:15
nodeClick,19:00:16
nodeClick,19:01:05
nodeClick,19:01:11
nodeClick,19:01:27
nodeClick,19:01:28
nodeClick,19:01:43
nodeClick,19:01:45
nodeClick,19:01:46
nodeClick,19:01:54
nodeClick,19:01:54
nodeClick,19:02:19
nodeClick,19:02:20
magicModify-start,19:02:21
magicModify-finished,19:02:25
nodeClick,19:02:32
nodeClick,19:02:37
nodeClick,19:02:47
nodeClick,19:02:53
nodeClick,19:02:58
nodeClick,19:03:36
nodeClick,19:03:40
nodeClick,19:04:00
flow2js-start,19:04:27
flow2js-finished,19:04:45
explainModifiedJS-start,19:04:45
explainModifiedJS-finished,19:04:49
nodeClick,19:08:04
nodeClick,19:14:35
nodeClick,19:14:49
nodeClick,19:14:59
nodeClick,19:15:06
nodeClick,19:15:10
nodeClick,19:15:10
nodeClick,19:15:13
nodeClick,19:15:13
nodeClick,19:15:29
nodeClick,19:15:50
nodeClick,19:15:51
flow2js-start,19:15:54
flow2js-finished,19:16:12
explainModifiedJS-start,19:16:12
explainModifiedJS-finished,19:16:17
nodeClick,19:18:49
nodeClick,19:18:50
nodeClick,19:18:50
nodeClick,19:19:15
nodeClick,19:19:29
nodeClick,19:19:30
nodeClick,19:19:31
nodeClick,19:19:31
nodeClick,19:19:34
nodeClick,19:19:34
nodeClick,19:19:35
nodeClick,19:19:36
nodeClick,19:19:36
nodeClick,19:25:24
nodeClick,19:25:27
flow2js-start,19:26:03
flow2js-finished,19:26:19
explainModifiedJS-start,19:26:19
explainModifiedJS-finished,19:26:23
nodeClick,19:27:02
