type,time
start,21:13:24
authoringNEW-start,21:20:11
authoring-finished,21:20:22
authoringNEW-start,21:21:37
authoring-finished,21:21:39
nl2js-start,21:21:39
nl2js-finished,21:21:52
js2NLexplain-start,21:21:52
js2NLexplain-finished,21:22:06
js2flow-start,21:22:06
js2flow-finished,21:23:24
nodeClick,21:23:33
nodeClick,21:23:37
nodeClick,21:23:38
nodeClick,21:26:50
nodeClick,21:26:51
Node update,21:26:55
flow2js-start,21:26:58
flow2js-finished,21:27:51
explainModifiedJS-start,21:27:51
explainModifiedJS-finished,21:27:55
