type,time
start,21:31:57
authoringNEW-start,21:36:48
authoring-finished,21:36:52
authoringNEW-start,21:37:06
authoring-finished,21:37:07
nl2js-start,21:37:07
nl2js-finished,21:37:15
js2NLexplain-start,21:37:15
js2NLexplain-finished,21:37:25
js2flow-start,21:37:25
js2flow-finished,21:38:21
nodeClick,21:39:22
nodeClick,21:39:22
Node update,21:39:28
nodeClick,21:39:34
nodeClick,21:39:50
Node update,21:39:58
nodeClick,21:40:10
nodeClick,21:40:11
nodeClick,21:40:18
nodeClick,21:40:19
nodeClick,21:40:23
nodeClick,21:40:23
nodeClick,21:40:25
nodeClick,21:40:25
Node update,21:40:46
nodeClick,21:40:50
nodeClick,21:40:52
nodeClick,21:40:53
nodeClick,21:40:53
nodeClick,21:40:54
nodeClick,21:40:57
nodeClick,21:40:57
nodeClick,21:40:59
nodeClick,21:41:00
nodeClick,21:41:04
nodeClick,21:41:04
nodeClick,21:41:08
nodeClick,21:41:09
Node update,21:41:14
nodeClick,21:41:15
nodeClick,21:41:15
nodeClick,21:41:19
nodeClick,21:41:20
nodeClick,21:41:20
nodeClick,21:41:22
nodeClick,21:41:22
nodeClick,21:41:24
nodeClick,21:41:24
Node update,21:41:26
