type,time
start,16:00:29
authoringNEW-start,16:02:50
authoring-finished,16:02:53
authoringNEW-start,16:03:09
authoring-finished,16:03:11
nl2js-start,16:03:11
nl2js-finished,16:03:15
js2NLexplain-start,16:03:15
js2NLexplain-finished,16:03:22
js2flow-start,16:03:22
js2flow-finished,16:03:44
nl2jswithContext-start,16:04:45
nl2jswithContext-finished,16:05:14
explainModifiedJS-start,16:05:14
explainModifiedJS-finished,16:05:23
js2flow-start,16:05:23
js2flow-finished,16:06:25
flow2js-start,16:06:48
flow2js-finished,16:07:15
explainModifiedJS-start,16:07:15
explainModifiedJS-finished,16:07:21
