time,content,type,sessionID,createdAt
16:13:16,start a new session,start,bb18d274-1b36-45f4-a530-14cece3bf463,08-23-16-13-16
16:14:03,我的机器人个性化服务定制需求：参观介绍,authoringNEW-start,bb18d274-1b36-45f4-a530-14cece3bf463,08-23-16-13-16
16:14:08,"<require>
1. 提供机器人参观介绍的语音导览。
2. 在导览中包含机器人的功能、技术特点和应用场景等信息。
3. 导览内容需要简洁明了，易于理解。
</require>",authoring-finished,bb18d274-1b36-45f4-a530-14cece3bf463,08-23-16-13-16
16:14:46,我的机器人个性化服务定制需求：参观介绍,authoringNEW-start,bb18d274-1b36-45f4-a530-14cece3bf463,08-23-16-13-16
16:14:50,"<require>
1. 提供从接待区到作品展示区的参观路线。
2. 路线需要清晰明确，包括具体的导航指引和标识。
3. 导览过程中可以介绍一些相关的作品展示信息。
</require>",authoring-finished,bb18d274-1b36-45f4-a530-14cece3bf463,08-23-16-13-16
16:15:18,我的机器人个性化服务定制需求：参观介绍,authoringNEW-start,bb18d274-1b36-45f4-a530-14cece3bf463,08-23-16-13-16
16:15:23,"<require>
1. 实现机器人的人物检测功能。
2. 机器人能够识别并标记出场景中的人物。
3. 人物检测需要准确、快速，并能够适应不同场景和光照条件。
</require>",authoring-finished,bb18d274-1b36-45f4-a530-14cece3bf463,08-23-16-13-16
16:16:18,我的机器人个性化服务定制需求：参观介绍,authoringNEW-start,bb18d274-1b36-45f4-a530-14cece3bf463,08-23-16-13-16
16:16:23,"<require>
1. 当机器人检测到人后，能够主动说出""您好，请让我为您介绍一下公司目前的主要展品""。
2. 介绍内容需要包括公司目前的主要展品的名称、特点和相关信息。
3. 介绍内容需要简洁明了，易于理解。
</require>",authoring-finished,bb18d274-1b36-45f4-a530-14cece3bf463,08-23-16-13-16
16:17:25,我的机器人个性化服务定制需求：参观介绍,authoringNEW-start,bb18d274-1b36-45f4-a530-14cece3bf463,08-23-16-13-16
