type,time
start,16:13:16
authoringNEW-start,16:14:03
authoring-finished,16:14:08
authoringNEW-start,16:14:46
authoring-finished,16:14:50
authoringNEW-start,16:15:18
authoring-finished,16:15:23
authoringNEW-start,16:16:18
authoring-finished,16:16:23
authoringNEW-start,16:17:25
authoring-finished,16:17:31
authoringNEW-start,16:18:16
authoring-finished,16:18:21
authoringNEW-start,16:19:21
authoring-finished,16:19:26
authoringNEW-start,16:19:43
authoring-finished,16:19:48
authoringNEW-start,16:20:03
authoring-finished,16:20:08
authoringNEW-start,16:20:29
authoring-finished,16:20:34
authoringNEW-start,16:20:50
authoring-finished,16:20:55
authoringNEW-start,16:21:11
authoring-finished,16:21:13
nl2js-start,16:21:13
nl2js-finished,16:21:27
js2NLexplain-start,16:21:27
js2NLexplain-finished,16:21:43
js2flow-start,16:21:43
js2flow-finished,16:22:18
nl2jswithContext-start,16:23:19
nl2jswithContext-finished,16:23:28
explainModifiedJS-start,16:23:28
explainModifiedJS-finished,16:23:36
js2flow-start,16:23:36
nl2jswithContext-start,16:23:38
nl2jswithContext-finished,16:23:48
explainModifiedJS-start,16:23:48
js2flow-finished,16:23:58
explainModifiedJS-finished,16:23:59
js2flow-start,16:23:59
nl2jswithContext-start,16:24:14
js2flow-finished,16:24:18
nl2jswithContext-finished,16:24:25
explainModifiedJS-start,16:24:25
explainModifiedJS-finished,16:24:34
js2flow-start,16:24:34
nl2jswithContext-start,16:24:35
nl2jswithContext-finished,16:24:50
explainModifiedJS-start,16:24:50
js2flow-finished,16:24:55
explainModifiedJS-finished,16:24:58
js2flow-start,16:24:58
nodeClick,16:25:03
nodeClick,16:25:03
js2flow-finished,16:25:28
Node update,16:25:34
nodeClick,16:25:40
nodeClick,16:25:40
Node update,16:25:53
nl2jswithContext-start,16:26:38
nl2jswithContext-start,16:26:52
nl2jswithContext-finished,16:26:56
explainModifiedJS-start,16:26:56
explainModifiedJS-finished,16:27:04
js2flow-start,16:27:04
nl2jswithContext-finished,16:27:15
explainModifiedJS-start,16:27:15
explainModifiedJS-finished,16:27:22
js2flow-start,16:27:22
js2flow-finished,16:27:37
js2flow-finished,16:27:56
nodeClick,16:28:08
nodeClick,16:28:09
nodeClick,16:28:09
nodeClick,16:28:13
nodeClick,16:28:27
nodeClick,16:29:16
nodeClick,16:29:54
magicModify-start,16:29:58
magicModify-finished,16:30:05
magicModifyPhase-start,16:30:29
magicModifyPhase-finished,16:30:56
js2flow-start,16:30:56
js2flow-finished,16:30:57
