type,time
start,16:36:08
authoringNEW-start,16:36:15
authoring-finished,16:36:16
authoringNEW-start,16:36:27
authoring-finished,16:36:32
authoringNEW-start,16:36:40
authoring-finished,16:36:46
authoringNEW-start,16:37:05
authoring-finished,16:37:10
authoringNEW-start,16:37:27
authoring-finished,16:37:33
authoringNEW-start,16:37:54
authoring-finished,16:37:59
authoringNEW-start,16:38:06
authoring-finished,16:38:12
authoringNEW-start,16:38:18
authoring-finished,16:38:22
authoringNEW-start,16:38:25
authoring-finished,16:38:27
nl2js-start,16:38:27
nl2js-finished,16:38:33
js2NLexplain-start,16:38:33
js2NLexplain-finished,16:38:40
js2flow-start,16:38:40
js2flow-finished,16:38:54
