type,time
start,16:39:41
authoringNEW-start,16:39:59
authoring-finished,16:39:59
authoringNEW-start,16:40:16
authoring-finished,16:40:20
authoringNEW-start,16:40:23
authoring-finished,16:40:28
authoringNEW-start,16:40:47
authoring-finished,16:40:52
authoringNEW-start,16:41:34
authoring-finished,16:41:41
authoringNEW-start,16:42:20
authoring-finished,16:42:31
authoringNEW-start,16:42:38
authoring-finished,16:42:40
nl2js-start,16:42:40
nl2js-finished,16:42:56
js2NLexplain-start,16:42:57
js2NLexplain-finished,16:43:10
js2flow-start,16:43:10
js2flow-finished,16:44:02
nodeClick,16:44:33
nodeClick,16:44:35
