type,time
start,18:42:02
authoringNEW-start,18:51:10
authoring-finished,18:51:23
authoringNEW-start,18:51:49
authoring-finished,18:52:00
authoringNEW-start,18:52:31
authoring-finished,18:52:44
authoringNEW-start,18:52:50
authoring-finished,18:52:51
nl2js-start,18:52:51
nl2js-finished,18:53:07
js2NLexplain-start,18:53:07
js2NLexplain-finished,18:53:21
js2flow-start,18:53:21
js2flow-finished,18:53:58
nodeClick,18:54:10
nodeClick,18:54:10
Node update,18:54:12
nodeClick,18:54:20
nodeClick,18:54:21
Node update,18:54:22
Node update,18:55:06
nl2jswithContext-start,18:56:02
nl2jswithContext-finished,18:56:35
explainModifiedJS-start,18:56:35
explainModifiedJS-finished,18:56:46
js2flow-start,18:56:46
js2flow-finished,18:57:21
nl2jswithContext-start,18:58:39
nl2jswithContext-finished,18:59:12
explainModifiedJS-start,18:59:12
explainModifiedJS-finished,18:59:17
js2flow-start,18:59:17
js2flow-finished,18:59:59
nodeClick,19:00:29
nodeClick,19:00:30
nodeClick,19:00:30
Node update,19:01:02
newNodeAdd,19:01:52
nodeClick,19:01:59
nodeClick,19:02:00
nodeClick,19:02:20
nodeClick,19:02:20
Node update,19:02:21
AutoLayout,19:02:48
Node update,19:03:16
nodeClick,19:03:24
nodeClick,19:03:24
nodeClick,19:03:31
nodeClick,19:03:32
nodeClick,19:03:33
nodeClick,19:03:35
nodeClick,19:03:35
nodeClick,19:03:37
nodeClick,19:03:38
nodeClick,19:03:39
nl2jswithContext-start,19:04:19
nl2jswithContext-finished,19:04:52
explainModifiedJS-start,19:04:52
explainModifiedJS-finished,19:05:01
js2flow-start,19:05:01
js2flow-finished,19:05:44
AutoLayout,19:05:49
nodeClick,19:08:57
nodeClick,19:09:04
nodeClick,19:09:05
nodeClick,19:09:05
Node update,19:09:06
Node update,19:09:08
nodeClick,19:09:18
AutoLayout,19:09:20
nodeClick,19:09:25
magicModify-start,19:09:29
magicModify-finished,19:09:29
magicModify-start,19:09:36
magicModify-finished,19:09:36
magicModify-start,19:09:38
magicModify-finished,19:09:39
magicModifyPhase-start,19:10:18
magicModifyPhase-finished,19:10:18
nodeClick,19:11:05
nodeClick,19:11:15
nodeClick,19:11:15
Node update,19:11:18
nodeClick,19:11:25
nodeClick,19:11:26
nodeClick,19:11:39
nodeClick,19:11:39
nodeClick,19:11:41
nodeClick,19:11:41
AutoLayout,19:12:02
nodeClick,19:12:04
nodeClick,19:12:16
nodeClick,19:12:16
Node update,19:12:18
nodeClick,19:13:22
nodeClick,19:13:25
magicModify-start,19:13:25
magicModify-finished,19:13:32
nodeClick,19:13:36
magicModifyPhase-start,19:13:45
nodeClick,19:13:46
magicModifyPhase-finished,19:13:49
magicModify-start,19:13:57
magicModify-finished,19:14:04
magicModifyPhase-start,19:14:25
magicModifyPhase-finished,19:14:52
js2flow-start,19:14:52
js2flow-finished,19:15:24
AutoLayout,19:15:29
