time,content,type,sessionID,createdAt
13:43:10,start a new session,start,6ca4b4ff-e0e1-4c73-b917-ec43f2e19731,08-24-13-43-10
13:45:08,GOTO,newNodeAdd,6ca4b4ff-e0e1-4c73-b917-ec43f2e19731,08-24-13-43-10
13:45:10,前往,nodeClick,6ca4b4ff-e0e1-4c73-b917-ec43f2e19731,08-24-13-43-10
13:45:10,前往,nodeClick,6ca4b4ff-e0e1-4c73-b917-ec43f2e19731,08-24-13-43-10
13:45:33,"{'label': '会客厅', 'name': 'GOTO', 'tooltip': '前往', 'variable': '', 'action': '前往'}",Node update -- variable,6ca4b4ff-e0e1-4c73-b917-ec43f2e19731,08-24-13-43-10
13:45:36,"{'label': '', 'name': 'GOTO', 'tooltip': '前往', 'variable': '', 'action': '前往'}",Node update,6ca4b4ff-e0e1-4c73-b917-ec43f2e19731,08-24-13-43-10
13:45:43,SPEAK,newNodeAdd,6ca4b4ff-e0e1-4c73-b917-ec43f2e19731,08-24-13-43-10
13:45:47,说话,nodeClick,6ca4b4ff-e0e1-4c73-b917-ec43f2e19731,08-24-13-43-10
13:45:47,说话,nodeClick,6ca4b4ff-e0e1-4c73-b917-ec43f2e19731,08-24-13-43-10
13:46:24,"{'label': '', 'name': 'SPEAK', 'tooltip': '说话', 'variable': '', 'action': '骂人'}",Node update,6ca4b4ff-e0e1-4c73-b917-ec43f2e19731,08-24-13-43-10
13:47:01,"{'label': '', 'name': 'SPEAK', 'tooltip': '说话', 'variable': '', 'action': '说一句赞美同济大学的话'}",Node update,6ca4b4ff-e0e1-4c73-b917-ec43f2e19731,08-24-13-43-10
13:47:02,"{'label': '', 'name': 'SPEAK', 'tooltip': '说话', 'variable': '', 'action': '说一句赞美同济大学的话'}",Node update,6ca4b4ff-e0e1-4c73-b917-ec43f2e19731,08-24-13-43-10
13:47:04,"{'label': '', 'name': 'SPEAK', 'tooltip': '说话', 'variable': '', 'action': '说一句赞美同济大学的话'}",Node update,6ca4b4ff-e0e1-4c73-b917-ec43f2e19731,08-24-13-43-10
13:47:13,USERREQUEST,newNodeAdd,6ca4b4ff-e0e1-4c73-b917-ec43f2e19731,08-24-13-43-10
13:47:17,预约开会,nodeClick,6ca4b4ff-e0e1-4c73-b917-ec43f2e19731,08-24-13-43-10
13:47:24,会客厅,nodeClick,6ca4b4ff-e0e1-4c73-b917-ec43f2e19731,08-24-13-43-10
13:47:28,骂人;,nodeClick,6ca4b4ff-e0e1-4c73-b917-ec43f2e19731,08-24-13-43-10
13:47:28,会客厅,nodeClick,6ca4b4ff-e0e1-4c73-b917-ec43f2e19731,08-24-13-43-10
13:47:32,自动布局,AutoLayout,6ca4b4ff-e0e1-4c73-b917-ec43f2e19731,08-24-13-43-10
