type,time
start,14:50:15
authoringNEW-start,14:54:39
authoring-finished,14:54:47
authoringNEW-start,14:56:35
authoring-finished,14:56:46
authoringNEW-start,14:58:03
authoring-finished,14:58:15
authoringNEW-start,14:58:31
authoring-finished,14:58:33
nl2js-start,14:58:33
nl2js-finished,14:58:50
js2NLexplain-start,14:58:50
js2NLexplain-finished,14:59:03
js2flow-start,14:59:04
js2flow-finished,14:59:50
nodeClick,15:00:46
nodeClick,15:01:50
magicModify-start,15:02:54
magicModify-finished,15:03:05
magicModifyPhase-start,15:03:59
magicModifyPhase-finished,15:04:16
