type,time
start,20:20:51
authoringNEW-start,20:25:47
authoring-finished,20:25:53
authoringNEW-start,20:27:07
authoring-finished,20:27:14
authoringNEW-start,20:27:33
authoring-finished,20:27:35
nl2js-start,20:27:35
nl2js-finished,20:27:51
js2NLexplain-start,20:27:51
js2NLexplain-finished,20:28:07
js2flow-start,20:28:07
js2flow-finished,20:29:47
nodeClick,20:30:04
magicModify-start,20:30:11
magicModify-finished,20:30:19
nodeClick,20:31:00
magicModify-start,20:31:04
magicModify-finished,20:31:11
magicModifyPhase-start,20:31:22
magicModifyPhase-finished,20:31:26
nodeClick,20:31:28
nodeClick,20:31:37
nl2jswithContext-start,20:33:23
nl2jswithContext-finished,20:33:55
explainModifiedJS-start,20:33:55
explainModifiedJS-finished,20:34:13
js2flow-start,20:34:13
js2flow-finished,20:35:23
nodeClick,20:35:45
nodeClick,20:35:47
nodeClick,20:36:12
magicModify-start,20:36:14
magicModify-finished,20:36:20
magicModifyPhase-start,20:36:47
magicModifyPhase-finished,20:36:50
nl2jswithContext-start,20:39:50
nl2jswithContext-finished,20:40:10
explainModifiedJS-start,20:40:10
explainModifiedJS-finished,20:40:22
js2flow-start,20:40:22
nl2jswithContext-start,20:40:50
nl2jswithContext-start,20:41:03
nl2jswithContext-finished,20:41:08
explainModifiedJS-start,20:41:08
js2flow-finished,20:41:11
explainModifiedJS-finished,20:41:16
js2flow-start,20:41:16
nl2jswithContext-finished,20:41:23
explainModifiedJS-start,20:41:23
explainModifiedJS-finished,20:41:33
js2flow-start,20:41:33
js2flow-finished,20:42:09
js2flow-finished,20:42:19
nl2jswithContext-start,20:42:22
nl2jswithContext-finished,20:42:39
explainModifiedJS-start,20:42:39
explainModifiedJS-finished,20:42:46
js2flow-start,20:42:46
js2flow-finished,20:43:31
