type,time
start,20:43:50
authoringNEW-start,20:43:54
authoring-finished,20:44:01
authoringNEW-start,20:44:09
authoring-finished,20:44:11
nl2js-start,20:44:11
nl2js-finished,20:44:21
js2NLexplain-start,20:44:21
js2NLexplain-finished,20:44:32
js2flow-start,20:44:32
js2flow-finished,20:45:06
nodeClick,20:45:57
nodeClick,20:45:59
nodeClick,20:46:04
nodeClick,20:46:06
nodeClick,20:46:10
nodeClick,20:46:28
nodeClick,20:46:38
nodeClick,20:46:41
nodeClick,20:46:44
nodeClick,20:46:45
nodeClick,20:46:46
nodeClick,20:46:51
nodeClick,20:46:55
