type,time
start,21:13:57
authoringNEW-start,21:20:54
authoring-finished,21:21:01
authoringNEW-start,21:21:17
authoring-finished,21:21:19
nl2js-start,21:21:19
nl2js-finished,21:21:26
js2NLexplain-start,21:21:26
js2NLexplain-finished,21:21:38
js2flow-start,21:21:38
js2flow-finished,21:22:11
nodeClick,21:22:35
nodeClick,21:22:45
nl2jswithContext-start,21:24:15
nl2jswithContext-finished,21:24:35
explainModifiedJS-start,21:24:35
explainModifiedJS-finished,21:24:43
js2flow-start,21:24:43
js2flow-finished,21:25:18
nl2jswithContext-start,21:26:46
nl2jswithContext-finished,21:27:08
explainModifiedJS-start,21:27:08
explainModifiedJS-finished,21:27:16
js2flow-start,21:27:16
js2flow-finished,21:27:54
nodeClick,21:28:20
nodeClick,21:28:27
nodeClick,21:28:35
nodeClick,21:28:43
nodeClick,21:29:00
nodeClick,21:29:06
nl2jswithContext-start,21:29:50
nl2jswithContext-finished,21:30:17
explainModifiedJS-start,21:30:17
explainModifiedJS-finished,21:30:25
js2flow-start,21:30:25
js2flow-finished,21:31:07
nodeClick,21:31:28
magicModify-start,21:31:29
magicModify-finished,21:31:36
magicModifyPhase-start,21:32:04
magicModifyPhase-finished,21:32:07
nodeClick,21:33:08
nodeClick,21:33:14
nodeClick,21:34:05
